iri,broader,prefLabel
https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,,Alternate Name
https://vocab.geospecimens.org/def/geological-material-name-type/cataloged-name,,Cataloged Name
https://vocab.geospecimens.org/def/geological-material-name-type/classification,https://vocab.geospecimens.org/def/geological-material-name-type/formal-name,Classification
https://vocab.geospecimens.org/def/geological-material-name-type/formal-name,,Formal Name
https://vocab.geospecimens.org/def/geological-material-name-type/group,https://vocab.geospecimens.org/def/geological-material-name-type/formal-name,Group
https://vocab.geospecimens.org/def/geological-material-name-type/historical,https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,Historical
https://vocab.geospecimens.org/def/geological-material-name-type/ima-approved-name,https://vocab.geospecimens.org/def/geological-material-name-type/formal-name,IMA Approved Name
https://vocab.geospecimens.org/def/geological-material-name-type/obsolete,https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,Obsolete
https://vocab.geospecimens.org/def/geological-material-name-type/series,https://vocab.geospecimens.org/def/geological-material-name-type/formal-name,Series
https://vocab.geospecimens.org/def/geological-material-name-type/structural-group,https://vocab.geospecimens.org/def/geological-material-name-type/group-name,Structural Group
https://vocab.geospecimens.org/def/geological-material-name-type/synonym,https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,Synonym
https://vocab.geospecimens.org/def/geological-material-name-type/unapproved,https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,Unapproved
https://vocab.geospecimens.org/def/geological-material-name-type/variety,https://vocab.geospecimens.org/def/geological-material-name-type/alternate-name,Variety
